,created_at,text
34,Sat Dec 05 19:11:11 +0000 2015,RT @Arima_raj: Had to go through this sludge and water to reach Burma nagar #ChennaiFloods #ChennaiRainsHelp https://t.co/bO3vfd62QW
35,Sat Dec 05 19:11:14 +0000 2015,"RT @TrollywoodTamil: Very useful ..share
#ChennaiRains #ChennaiFloods #ChennaiRainsHelp"
36,Sat Dec 05 19:11:15 +0000 2015,#ChennaiFloods #ChennaiRainsHelp #HelpChennai /\ https://t.co/z49xlFVONH
37,Sat Dec 05 19:11:16 +0000 2015,RT @pisaasu: atlast the team #ChennaiRainsHelp #ChennaiFloods https://t.co/8gZAXqygYh
38,Sat Dec 05 19:11:17 +0000 2015,RT @Troll_Cinema: Kudos to #NewYork city _/\_ #ChennaiFloods https://t.co/EBeSs2UkS2
39,Sat Dec 05 19:11:19 +0000 2015,RT @isai_: #ChennaiVolunteer #ChennaiRainsHelp 🙏 https://t.co/nryNTjUEW3
40,Sat Dec 05 19:11:21 +0000 2015,RT @_Sangeethaa_: but please get an advise from a medical officer before doing this.. https://t.co/nEa25ndykj
41,Sat Dec 05 19:11:22 +0000 2015,RT @khaishk: #Chennaifloods While communal RSS distributes food water medicines secular missionaries hand out free bibles https://t.co/6m9Y…
42,Sat Dec 05 19:11:22 +0000 2015,Another Lesson to Learn #ChennaiFloods #ChennaiRainsHelp https://t.co/fAugzMkps7
43,Sat Dec 05 19:11:24 +0000 2015,"#ChennaiFloods proved that we could help ourselves irrespective of any Government help.Though appreciate the efforts by NDRF, Army and Navy!"
44,Sat Dec 05 19:11:25 +0000 2015,Tamilnadu govt. please take some step to close wineshops in chennai atleast till everything gets back to normal!! #ChennaiFloods
45,Sat Dec 05 19:11:26 +0000 2015,"RT @kavitha129: This might be helpful if works
#ChennaiFloods https://t.co/kQYsmOXOzd"
46,Sat Dec 05 19:11:28 +0000 2015,RT @varunkrish: We vote such people to power ? Time we did something about this ! What a fail !  https://t.co/Ps6l3mTMwh
